#calName, ra, dec, zCal
J1308-0950, 197.163156, -9.842338, 0.4668
J1308-6707, -162.927600917, -67.1181204444, -999
J1309+1154, 197.391385, 11.906820, 0.3183
J1310+3220, -162.380567292, 32.34549525, 0.997
J1312-0424, -161.787911392, -4.41385882222, 0.825
J1312-7724, -161.838527292, -77.4037006389, 1.0
J1315-5334, -161.232577467, -53.5766331806, -999
J1316-3338, -160.966725254, -33.6497701695, 1.21
J1319-0049, -160.088474346, -0.827761125, 0.886
J1319-1217, -160.199699742, -12.2922578583, 0.864
J1321-2636, -159.691512833, -26.6029073889, 2.027
J1321-4342, -159.696480292, -43.704678525, 0.011
J1322-6532, -159.275463671, -65.5388588111, -999
J1325-4301, -158.634937083, -43.0191126944, 0.002
J1326-5256, -158.294878687, -52.939898125, -999
J1327+2210, -158.246411208, 22.1806007889, 1.4
J1329+3154, -157.529729563, 31.9030707, 2.062
J1329-5608, -157.745229542, -56.1340738333, -999
J1330+2509, -157.342957208, 25.1530215278, 1.055
J1330-3122, -157.420483117, -31.3830932528, 1.326
J1331+3030, -157.215466346, 30.5091553444, 0.693
J1332+0200, -156.7780394, 2.01269421389, 0.216
J1332-0509, -156.981397192, -5.16202928333, 2.15
J1333+2725, -156.718788683, 27.4217730194, 2.126
J1333-2356, -156.587808167, -23.9404389444, 0.756
J1335-0511, -156.014680167, -5.19490521667, -999
J1336-0829, -155.96558405, -8.49772183889, 0.02281
J1336-3357, -155.837364275, -33.9658538084, 0.012
J1337-1257, -155.584238425, -12.956859275, 0.539
J1337-6509, -155.531477708, -65.1569160556, -999
J1339-2620, -155.167121875, -26.3418044167, 1.51
J1342+2709, -154.465097158, 27.1585047917, 1.19
J1342-2051, -154.480251946, -20.858205925, 1.582
J1342-2900, -154.436059938, -29.0116199417, 1.442
J1342-3240, -154.474158429, -32.6798998444, 0.791
J1347+1217, -153.110993279, 12.2900667889, 0.121
J1349-3056, -152.665006108, -30.9400545111, -999
